record_type,bank,base_currency,quote_currency,currency_pair,unit,transaction_value,amount_tier,std_transaction_value,std_amount_tier,group,effective_date,last_updated,scraped_at,tt_od_sell,tt_buy,mid_rate,bank_mid_rate,mid_source,sell_margin_pct,buy_margin_pct
standardized,dbs,AED,SGD,AED/SGD,1,SGD 50 – 200,amtBtw50And200,"SGD 40,000 – 100,000",std_40k_100k,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.3497,0.3445,0.34590000000000004,0.34709999999999996,MAS,1.0985834056085486,0.40474125469790917
standardized,dbs,AED,SGD,AED/SGD,1,SGD 50 – 200,amtBtw50And200,SGD 50 – 200,std_50_200,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.3497,0.3445,0.34590000000000004,0.34709999999999996,MAS,1.0985834056085486,0.40474125469790917
standardized,dbs,AED,SGD,AED/SGD,1,SGD < 50,amtLessThan50,SGD < 50,std_lt_50,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.3525,0.3417,0.34590000000000004,0.34709999999999996,MAS,1.9080659150043187,1.2142237640936793
standardized,dbs,AUD,SGD,AUD/SGD,1,SGD 50 – 200,amtBtw50And200,"SGD 200 – 39,999.99",std_200_40k,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.9245,0.9019,0.9148999999999999,0.9132,MAS,1.0492950049185763,1.4209203191605533
standardized,dbs,AUD,SGD,AUD/SGD,1,SGD 50 – 200,amtBtw50And200,"SGD 40,000 – 100,000",std_40k_100k,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.9245,0.9019,0.9148999999999999,0.9132,MAS,1.0492950049185763,1.4209203191605533
standardized,dbs,AUD,SGD,AUD/SGD,1,SGD 50 – 200,amtBtw50And200,SGD 50 – 200,std_50_200,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.9245,0.9019,0.9148999999999999,0.9132,MAS,1.0492950049185763,1.4209203191605533
standardized,dbs,AUD,SGD,AUD/SGD,1,SGD < 50,amtLessThan50,SGD < 50,std_lt_50,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.925,0.9015,0.9148999999999999,0.91325,MAS,1.103945786424758,1.4646409443655009
standardized,dbs,BDT,SGD,BDT/SGD,100,SGD 50 – 200,amtBtw50And200,"SGD 200 – 39,999.99",std_200_40k,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,1.0487,,,,,,
standardized,dbs,BDT,SGD,BDT/SGD,100,SGD 50 – 200,amtBtw50And200,"SGD 40,000 – 100,000",std_40k_100k,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,1.0487,,,,,,
standardized,dbs,BDT,SGD,BDT/SGD,100,SGD 50 – 200,amtBtw50And200,SGD 50 – 200,std_50_200,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,1.0487,,,,,,
standardized,dbs,BDT,SGD,BDT/SGD,100,SGD < 50,amtLessThan50,SGD < 50,std_lt_50,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,1.0487,,,,,,
standardized,dbs,BHD,SGD,BHD/SGD,1,SGD 50 – 200,amtBtw50And200,"SGD 200 – 39,999.99",std_200_40k,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,3.4471,,,,,,
standardized,dbs,BHD,SGD,BHD/SGD,1,SGD 50 – 200,amtBtw50And200,"SGD 40,000 – 100,000",std_40k_100k,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,3.4471,,,,,,
standardized,dbs,BHD,SGD,BHD/SGD,1,SGD 50 – 200,amtBtw50And200,SGD 50 – 200,std_50_200,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,3.4471,,,,,,
standardized,dbs,BHD,SGD,BHD/SGD,1,SGD < 50,amtLessThan50,SGD < 50,std_lt_50,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,3.4607,,,,,,
standardized,dbs,BND,SGD,BND/SGD,1,SGD 50 – 200,amtBtw50And200,"SGD 200 – 39,999.99",std_200_40k,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,1.0,1.0,,1.0,,,
standardized,dbs,BND,SGD,BND/SGD,1,SGD 50 – 200,amtBtw50And200,"SGD 40,000 – 100,000",std_40k_100k,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,1.0,1.0,,1.0,,,
standardized,dbs,BND,SGD,BND/SGD,1,SGD 50 – 200,amtBtw50And200,SGD 50 – 200,std_50_200,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,1.0,1.0,,1.0,,,
standardized,dbs,BND,SGD,BND/SGD,1,SGD < 50,amtLessThan50,SGD < 50,std_lt_50,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,1.0,1.0,,1.0,,,
standardized,dbs,CAD,SGD,CAD/SGD,1,SGD 50 – 200,amtBtw50And200,"SGD 200 – 39,999.99",std_200_40k,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.9248,0.9088,0.9173,0.9168000000000001,MAS,0.8176169192194431,0.9266325084487029
standardized,dbs,CAD,SGD,CAD/SGD,1,SGD 50 – 200,amtBtw50And200,"SGD 40,000 – 100,000",std_40k_100k,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.9248,0.9088,0.9173,0.9168000000000001,MAS,0.8176169192194431,0.9266325084487029
standardized,dbs,CAD,SGD,CAD/SGD,1,SGD 50 – 200,amtBtw50And200,SGD 50 – 200,std_50_200,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.9248,0.9088,0.9173,0.9168000000000001,MAS,0.8176169192194431,0.9266325084487029
standardized,dbs,CAD,SGD,CAD/SGD,1,SGD < 50,amtLessThan50,SGD < 50,std_lt_50,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.928,0.9056,0.9173,0.9168000000000001,MAS,1.1664668047530844,1.275482393982344
standardized,dbs,CHF,SGD,CHF/SGD,1,SGD 50 – 200,amtBtw50And200,"SGD 200 – 39,999.99",std_200_40k,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,1.5915,1.5575,1.5788,1.5745,MAS,0.8044084114517313,1.3491259184190445
standardized,dbs,CHF,SGD,CHF/SGD,1,SGD 50 – 200,amtBtw50And200,"SGD 40,000 – 100,000",std_40k_100k,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,1.5915,1.5575,1.5788,1.5745,MAS,0.8044084114517313,1.3491259184190445
standardized,dbs,CHF,SGD,CHF/SGD,1,SGD 50 – 200,amtBtw50And200,SGD 50 – 200,std_50_200,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,1.5915,1.5575,1.5788,1.5745,MAS,0.8044084114517313,1.3491259184190445
standardized,dbs,CHF,SGD,CHF/SGD,1,SGD < 50,amtLessThan50,SGD < 50,std_lt_50,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,1.5923,1.5568,1.5788,1.57455,MAS,0.8550798074486995,1.3934633899163935
standardized,dbs,CNH,SGD,CNH/SGD,1,SGD 50 – 200,amtBtw50And200,"SGD 200 – 39,999.99",std_200_40k,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.1917,0.1869,,0.18930000000000002,,,
standardized,dbs,CNH,SGD,CNH/SGD,1,SGD 50 – 200,amtBtw50And200,"SGD 40,000 – 100,000",std_40k_100k,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.1917,0.1869,,0.18930000000000002,,,
standardized,dbs,CNH,SGD,CNH/SGD,1,SGD 50 – 200,amtBtw50And200,SGD 50 – 200,std_50_200,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.1917,0.1869,,0.18930000000000002,,,
standardized,dbs,CNH,SGD,CNH/SGD,1,SGD < 50,amtLessThan50,SGD < 50,std_lt_50,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.1924,0.1863,,0.18935,,,
standardized,dbs,CNY,SGD,CNY/SGD,1,SGD 50 – 200,amtBtw50And200,"SGD 200 – 39,999.99",std_200_40k,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.1896,,0.18899999999999997,,MAS,0.3174603174603266,
standardized,dbs,CNY,SGD,CNY/SGD,1,SGD 50 – 200,amtBtw50And200,"SGD 40,000 – 100,000",std_40k_100k,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.1896,,0.18899999999999997,,MAS,0.3174603174603266,
standardized,dbs,CNY,SGD,CNY/SGD,1,SGD 50 – 200,amtBtw50And200,SGD 50 – 200,std_50_200,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.1896,,0.18899999999999997,,MAS,0.3174603174603266,
standardized,dbs,CNY,SGD,CNY/SGD,1,SGD < 50,amtLessThan50,SGD < 50,std_lt_50,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.1913,,0.18899999999999997,,MAS,1.21693121693123,
standardized,dbs,DKK,SGD,DKK/SGD,1,SGD 50 – 200,amtBtw50And200,"SGD 200 – 39,999.99",std_200_40k,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.2004,0.1946,,0.1975,,,
standardized,dbs,DKK,SGD,DKK/SGD,1,SGD 50 – 200,amtBtw50And200,"SGD 40,000 – 100,000",std_40k_100k,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.2004,0.1946,,0.1975,,,
standardized,dbs,DKK,SGD,DKK/SGD,1,SGD 50 – 200,amtBtw50And200,SGD 50 – 200,std_50_200,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.2004,0.1946,,0.1975,,,
standardized,dbs,DKK,SGD,DKK/SGD,1,SGD < 50,amtLessThan50,SGD < 50,std_lt_50,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.2008,0.1942,,0.1975,,,
standardized,dbs,EUR,SGD,EUR/SGD,1,SGD 50 – 200,amtBtw50And200,"SGD 200 – 39,999.99",std_200_40k,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,1.4905,1.4623,1.4797,1.4764,MAS,0.7298776779076787,1.175914036629052
standardized,dbs,EUR,SGD,EUR/SGD,1,SGD 50 – 200,amtBtw50And200,"SGD 40,000 – 100,000",std_40k_100k,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,1.4905,1.4623,1.4797,1.4764,MAS,0.7298776779076787,1.175914036629052
standardized,dbs,EUR,SGD,EUR/SGD,1,SGD 50 – 200,amtBtw50And200,SGD 50 – 200,std_50_200,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,1.4905,1.4623,1.4797,1.4764,MAS,0.7298776779076787,1.175914036629052
standardized,dbs,EUR,SGD,EUR/SGD,1,SGD < 50,amtLessThan50,SGD < 50,std_lt_50,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,1.4912,1.4616,1.4797,1.4764,MAS,0.7771845644387421,1.2232209231601003
standardized,dbs,GBP,SGD,GBP/SGD,1,SGD 50 – 200,amtBtw50And200,"SGD 200 – 39,999.99",std_200_40k,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,1.7408,1.7105,1.7267,1.72565,MAS,0.8165865523831587,0.938205826142352
standardized,dbs,GBP,SGD,GBP/SGD,1,SGD 50 – 200,amtBtw50And200,"SGD 40,000 – 100,000",std_40k_100k,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,1.7408,1.7105,1.7267,1.72565,MAS,0.8165865523831587,0.938205826142352
standardized,dbs,GBP,SGD,GBP/SGD,1,SGD 50 – 200,amtBtw50And200,SGD 50 – 200,std_50_200,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,1.7408,1.7105,1.7267,1.72565,MAS,0.8165865523831587,0.938205826142352
standardized,dbs,GBP,SGD,GBP/SGD,1,SGD < 50,amtLessThan50,SGD < 50,std_lt_50,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,1.7425,1.7088,1.7267,1.72565,MAS,0.9150402501882225,1.0366595239474028
standardized,dbs,HKD,SGD,HKD/SGD,1,SGD 50 – 200,amtBtw50And200,"SGD 200 – 39,999.99",std_200_40k,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.1644,0.1608,0.16210000000000002,0.1626,MAS,1.4188772362738855,0.8019740900678738
standardized,dbs,HKD,SGD,HKD/SGD,1,SGD 50 – 200,amtBtw50And200,"SGD 40,000 – 100,000",std_40k_100k,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.1644,0.1608,0.16210000000000002,0.1626,MAS,1.4188772362738855,0.8019740900678738
standardized,dbs,HKD,SGD,HKD/SGD,1,SGD 50 – 200,amtBtw50And200,SGD 50 – 200,std_50_200,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.1644,0.1608,0.16210000000000002,0.1626,MAS,1.4188772362738855,0.8019740900678738
standardized,dbs,HKD,SGD,HKD/SGD,1,SGD < 50,amtLessThan50,SGD < 50,std_lt_50,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.1645,0.1606,0.16210000000000002,0.16255,MAS,1.4805675508945004,0.9253547193090863
standardized,dbs,HUF,SGD,HUF/SGD,100,SGD 50 – 200,amtBtw50And200,"SGD 200 – 39,999.99",std_200_40k,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.415,,,,,,
standardized,dbs,HUF,SGD,HUF/SGD,100,SGD 50 – 200,amtBtw50And200,"SGD 40,000 – 100,000",std_40k_100k,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.415,,,,,,
standardized,dbs,HUF,SGD,HUF/SGD,100,SGD 50 – 200,amtBtw50And200,SGD 50 – 200,std_50_200,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.415,,,,,,
standardized,dbs,HUF,SGD,HUF/SGD,100,SGD < 50,amtLessThan50,SGD < 50,std_lt_50,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.4166,,,,,,
standardized,dbs,ID0,SGD,ID0/SGD,100,SGD 50 – 200,amtBtw50And200,"SGD 200 – 39,999.99",std_200_40k,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,,,,,,,
standardized,dbs,ID0,SGD,ID0/SGD,100,SGD 50 – 200,amtBtw50And200,"SGD 40,000 – 100,000",std_40k_100k,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,,,,,,,
standardized,dbs,ID0,SGD,ID0/SGD,100,SGD 50 – 200,amtBtw50And200,SGD 50 – 200,std_50_200,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,,,,,,,
standardized,dbs,ID0,SGD,ID0/SGD,100,SGD < 50,amtLessThan50,SGD < 50,std_lt_50,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,,0.0072,,,,,
standardized,dbs,IDR,SGD,IDR/SGD,100,SGD 50 – 200,amtBtw50And200,"SGD 200 – 39,999.99",std_200_40k,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.0074,,0.007176,,MAS,3.121516164994429,
standardized,dbs,IDR,SGD,IDR/SGD,100,SGD 50 – 200,amtBtw50And200,"SGD 40,000 – 100,000",std_40k_100k,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.0074,,0.007176,,MAS,3.121516164994429,
standardized,dbs,IDR,SGD,IDR/SGD,100,SGD 50 – 200,amtBtw50And200,SGD 50 – 200,std_50_200,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.0074,,0.007176,,MAS,3.121516164994429,
standardized,dbs,IDR,SGD,IDR/SGD,100,SGD < 50,amtLessThan50,SGD < 50,std_lt_50,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.0074,,0.007176,,MAS,3.121516164994429,
standardized,dbs,IN0,SGD,IN0/SGD,100,SGD 50 – 200,amtBtw50And200,"SGD 200 – 39,999.99",std_200_40k,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,,1.3295,,,,,
standardized,dbs,IN0,SGD,IN0/SGD,100,SGD 50 – 200,amtBtw50And200,"SGD 40,000 – 100,000",std_40k_100k,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,,1.3295,,,,,
standardized,dbs,IN0,SGD,IN0/SGD,100,SGD 50 – 200,amtBtw50And200,SGD 50 – 200,std_50_200,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,,1.3295,,,,,
standardized,dbs,IN0,SGD,IN0/SGD,100,SGD < 50,amtLessThan50,SGD < 50,std_lt_50,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,,1.3295,,,,,
standardized,dbs,INR,SGD,INR/SGD,100,SGD 50 – 200,amtBtw50And200,"SGD 200 – 39,999.99",std_200_40k,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,1.3522,,1.3296,,MAS,1.6997593261131299,
standardized,dbs,INR,SGD,INR/SGD,100,SGD 50 – 200,amtBtw50And200,"SGD 40,000 – 100,000",std_40k_100k,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,1.3522,,1.3296,,MAS,1.6997593261131299,
standardized,dbs,INR,SGD,INR/SGD,100,SGD 50 – 200,amtBtw50And200,SGD 50 – 200,std_50_200,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,1.3522,,1.3296,,MAS,1.6997593261131299,
standardized,dbs,INR,SGD,INR/SGD,100,SGD < 50,amtLessThan50,SGD < 50,std_lt_50,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,1.363,,1.3296,,MAS,2.5120336943441712,
standardized,dbs,JPY,SGD,JPY/SGD,100,SGD 50 – 200,amtBtw50And200,"SGD 200 – 39,999.99",std_200_40k,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.805,0.7873,0.7968,0.79615,MAS,1.029116465863466,1.192269076305215
standardized,dbs,JPY,SGD,JPY/SGD,100,SGD 50 – 200,amtBtw50And200,"SGD 40,000 – 100,000",std_40k_100k,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.805,0.7873,0.7968,0.79615,MAS,1.029116465863466,1.192269076305215
standardized,dbs,JPY,SGD,JPY/SGD,100,SGD 50 – 200,amtBtw50And200,SGD 50 – 200,std_50_200,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.805,0.7873,0.7968,0.79615,MAS,1.029116465863466,1.192269076305215
standardized,dbs,JPY,SGD,JPY/SGD,100,SGD < 50,amtLessThan50,SGD < 50,std_lt_50,mainCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.8058,0.7865,0.7968,0.7961499999999999,MAS,1.1295180722891576,1.2926706827309207
standardized,dbs,KRW,SGD,KRW/SGD,100,SGD 50 – 200,amtBtw50And200,"SGD 200 – 39,999.99",std_200_40k,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.0939,,0.0923,,MAS,1.7334777898158227,
standardized,dbs,KRW,SGD,KRW/SGD,100,SGD 50 – 200,amtBtw50And200,"SGD 40,000 – 100,000",std_40k_100k,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.0939,,0.0923,,MAS,1.7334777898158227,
standardized,dbs,KRW,SGD,KRW/SGD,100,SGD 50 – 200,amtBtw50And200,SGD 50 – 200,std_50_200,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.0939,,0.0923,,MAS,1.7334777898158227,
standardized,dbs,KRW,SGD,KRW/SGD,100,SGD < 50,amtLessThan50,SGD < 50,std_lt_50,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.0939,,0.0923,,MAS,1.7334777898158227,
standardized,dbs,KWD,SGD,KWD/SGD,100,SGD 50 – 200,amtBtw50And200,"SGD 200 – 39,999.99",std_200_40k,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,423.474,,,,,,
standardized,dbs,KWD,SGD,KWD/SGD,100,SGD 50 – 200,amtBtw50And200,"SGD 40,000 – 100,000",std_40k_100k,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,423.474,,,,,,
standardized,dbs,KWD,SGD,KWD/SGD,100,SGD 50 – 200,amtBtw50And200,SGD 50 – 200,std_50_200,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,423.474,,,,,,
standardized,dbs,KWD,SGD,KWD/SGD,100,SGD < 50,amtLessThan50,SGD < 50,std_lt_50,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,425.1441,,,,,,
standardized,dbs,LKR,SGD,LKR/SGD,100,SGD 50 – 200,amtBtw50And200,"SGD 200 – 39,999.99",std_200_40k,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.3966,,,,,,
standardized,dbs,LKR,SGD,LKR/SGD,100,SGD 50 – 200,amtBtw50And200,"SGD 40,000 – 100,000",std_40k_100k,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.3966,,,,,,
standardized,dbs,LKR,SGD,LKR/SGD,100,SGD 50 – 200,amtBtw50And200,SGD 50 – 200,std_50_200,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.3966,,,,,,
standardized,dbs,LKR,SGD,LKR/SGD,100,SGD < 50,amtLessThan50,SGD < 50,std_lt_50,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.3966,,,,,,
standardized,dbs,MM1,SGD,MM1/SGD,100,SGD 50 – 200,amtBtw50And200,"SGD 200 – 39,999.99",std_200_40k,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,,,,,,,
standardized,dbs,MM1,SGD,MM1/SGD,100,SGD 50 – 200,amtBtw50And200,"SGD 40,000 – 100,000",std_40k_100k,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,,,,,,,
standardized,dbs,MM1,SGD,MM1/SGD,100,SGD 50 – 200,amtBtw50And200,SGD 50 – 200,std_50_200,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,,,,,,,
standardized,dbs,MM1,SGD,MM1/SGD,100,SGD < 50,amtLessThan50,SGD < 50,std_lt_50,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,,,,,,,
standardized,dbs,MMK,SGD,MMK/SGD,100,SGD 50 – 200,amtBtw50And200,"SGD 200 – 39,999.99",std_200_40k,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.0326,,,,,,
standardized,dbs,MMK,SGD,MMK/SGD,100,SGD 50 – 200,amtBtw50And200,"SGD 40,000 – 100,000",std_40k_100k,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.0326,,,,,,
standardized,dbs,MMK,SGD,MMK/SGD,100,SGD 50 – 200,amtBtw50And200,SGD 50 – 200,std_50_200,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.0326,,,,,,
standardized,dbs,MMK,SGD,MMK/SGD,100,SGD < 50,amtLessThan50,SGD < 50,std_lt_50,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,0.0326,,,,,,
standardized,dbs,MUR,SGD,MUR/SGD,100,SGD 50 – 200,amtBtw50And200,"SGD 200 – 39,999.99",std_200_40k,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,2.7596,,,,,,
standardized,dbs,MUR,SGD,MUR/SGD,100,SGD 50 – 200,amtBtw50And200,"SGD 40,000 – 100,000",std_40k_100k,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,2.7596,,,,,,
standardized,dbs,MUR,SGD,MUR/SGD,100,SGD 50 – 200,amtBtw50And200,SGD 50 – 200,std_50_200,otherCurrencies,2026-08-29 06:00:11,2026-08-28 22:00:23,2026-08-28T22:30:14.733596+00:00,2.7596,,,,,,
